url,nameString
https://www.psychotherapy.org.uk/therapist/Rachel-Kershaw-LnAJUAA3,Rachel Kershaw(missing session type)(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Bozena-Skarbek-Cielecka-M7FoUQAV,Bozena Skarbek(missing cost)
https://www.psychotherapy.org.uk/therapist/Diane-Linda-Arthur-iAjhZAAS,Diane Linda(missing session type)(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Claire-Daplyn-lxQDyAAM,Claire Daplyn(missing cost)(missing website)
https://www.psychotherapy.org.uk/therapist/J-Alexander-Isaksson-10ICEQA2,J Alexander(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Susan-Douglass-WjdzqAAB,Susan Douglass(missing session type)(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Catherine-Nottingham-iAhz5AAC,Catherine Nottingham(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Julian-Cowan-Hill-iAi7jAAC,Julian Cowan(missing cost)
https://www.psychotherapy.org.uk/therapist/Charlotte-Rump-a4acuAAA,Charlotte Rump(missing session type)(missing cost)(missing website)
https://www.psychotherapy.org.uk/therapist/Kate-morgan-0PZtpIAG,Kate morgan(missing session type)(missing cost)(missing website)
https://www.psychotherapy.org.uk/therapist/Keith-Leslie-Mainland-iAkDGAA0,Keith Leslie(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Zo%C3%AB-Pool-iAhYGAA0,Zo%C3%AB Pool(missing cost)
https://www.psychotherapy.org.uk/therapist/Haydn-Forde-CO6k2AAD,Haydn Forde(missing cost)
https://www.psychotherapy.org.uk/therapist/Craig-Morgan-ERdzFQAT,Craig Morgan(missing cost)(missing website)
https://www.psychotherapy.org.uk/therapist/Ruth-Hoskins-iAk86AAC,Ruth Hoskins(missing cost)(missing email)
https://www.psychotherapy.org.uk/therapist/Kirsty-Anne-McEwan-3gJ47AAE,Kirsty Anne(missing cost)(missing email)
